x,Control,Drought,Drought+herbivore,Watered+herbivore
-1.2369,21.473,10.781,15.62,13.268
-0.2368,18.31,59.732,45.988,10.2
0.763,26.437,97.354,156.53,27.323
1.763,29.892,113.33,203.918,53.711
2.7684,29.843,127.725,167.994,61.304
3.763,27.848,131.815,153.465,59.842
4.7791,33.638,133.16,149.149,68.986
5.7737,28.918,196.922,228.932,62.696
6.7685,20.305,104.181,166.858,56.617
7.7686,16.363,29.873,74.171,59.716
